BatchID,Accuracy,Precision,Recall,CumulativeAccuracy
1,0.5,0.75,0.5,0.5
2,0.75,0.7678571428571428,0.75,0.7
3,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.75
4,0.5833333333333334,0.6416666666666666,0.5833333333333333,0.7045454545454546
5,0.6923076923076923,0.7142857142857143,0.6923076923076923,0.7017543859649122
6,0.7,0.7000000000000001,0.7,0.7014925373134329
7,0.7,0.7000000000000001,0.7000000000000001,0.7012987012987013
8,0.8181818181818182,0.9545454545454546,0.8181818181818181,0.7159090909090909
9,0.5,0.32,0.5,0.6938775510204082
10,0.5454545454545454,0.7954545454545454,0.5454545454545454,0.6788990825688074
11,0.9090909090909091,0.9393939393939393,0.9090909090909091,0.7
12,0.6,0.6000000000000001,0.6000000000000001,0.6923076923076923
13,0.5714285714285714,0.8333333333333333,0.5714285714285714,0.6805555555555556
14,0.7857142857142857,0.8095238095238095,0.7857142857142856,0.689873417721519
15,0.45454545454545453,0.6606060606060606,0.45454545454545453,0.6745562130177515
16,0.5,0.5066666666666667,0.5,0.664804469273743
17,0.8,0.8333333333333334,0.8,0.671957671957672
18,0.6,0.54,0.6,0.6683417085427136
19,0.6363636363636364,0.8,0.6363636363636364,0.6666666666666666
20,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.6621004566210046
21,0.7777777777777778,0.8148148148148149,0.7777777777777777,0.6666666666666666
22,0.8888888888888888,1.0,0.8888888888888888,0.6751054852320675
23,0.5454545454545454,0.5454545454545454,0.5454545454545454,0.6693548387096774
24,0.4444444444444444,0.5777777777777777,0.4444444444444444,0.6614785992217899
25,0.4,0.3,0.4,0.651685393258427
26,0.6666666666666666,0.537037037037037,0.6666666666666666,0.6521739130434783
27,0.45454545454545453,0.7348484848484849,0.45454545454545453,0.6445993031358885
28,0.6666666666666666,0.8148148148148148,0.6666666666666667,0.6452702702702703
29,0.875,0.8125,0.875,0.6513157894736842
30,0.3333333333333333,0.25,0.3333333333333333,0.6451612903225806
31,0.7777777777777778,0.9444444444444444,0.7777777777777777,0.6489028213166145
32,0.7,0.725,0.7,0.6504559270516718
33,0.5555555555555556,0.6296296296296297,0.5555555555555556,0.6479289940828402
34,0.5555555555555556,0.5185185185185185,0.5555555555555556,0.6455331412103746
35,0.875,1.0,0.875,0.6507042253521127
36,0.625,0.6875,0.625,0.650137741046832
37,0.75,0.6875,0.75,0.6522911051212938
38,0.7272727272727273,0.7954545454545454,0.7272727272727273,0.6544502617801047
39,0.5555555555555556,0.5,0.5555555555555556,0.6521739130434783
40,0.7777777777777778,0.8518518518518519,0.7777777777777778,0.655
41,0.7777777777777778,0.9259259259259258,0.7777777777777777,0.6577017114914425
42,0.5,0.5333333333333333,0.5,0.6539379474940334
43,0.5833333333333334,0.625,0.5833333333333334,0.6519721577726219
44,0.6363636363636364,0.8181818181818181,0.6363636363636364,0.6515837104072398
45,0.7777777777777778,0.9259259259259258,0.7777777777777777,0.6541019955654102
46,0.5,0.5666666666666667,0.5,0.6507592190889371
47,0.7777777777777778,0.8518518518518519,0.7777777777777779,0.6531914893617021
48,0.7692307692307693,0.8461538461538463,0.7692307692307694,0.6563146997929606
49,0.5,0.6100000000000001,0.5,0.6531440162271805
50,0.3,0.26,0.30000000000000004,0.6461232604373758
51,0.2857142857142857,0.42857142857142855,0.2857142857142857,0.6411764705882353
52,0.7777777777777778,0.9111111111111112,0.7777777777777777,0.6435452793834296
53,0.5833333333333334,0.5416666666666666,0.5833333333333333,0.6421845574387948
54,0.8,0.67,0.7999999999999999,0.6451016635859519
55,0.625,0.65,0.625,0.644808743169399
56,0.8888888888888888,0.9444444444444444,0.8888888888888888,0.6487455197132617
57,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.6455026455026455
58,0.7142857142857143,0.9999999999999999,0.7142857142857142,0.6463414634146342
59,0.8888888888888888,0.9166666666666665,0.8888888888888888,0.6500857632933105
60,0.6666666666666666,0.6444444444444445,0.6666666666666666,0.6503378378378378
61,0.6,0.6000000000000001,0.6000000000000001,0.6495016611295681
62,0.5,0.5416666666666666,0.5,0.6475409836065574
63,0.625,0.6458333333333333,0.625,0.6472491909385113
64,0.5555555555555556,0.48148148148148145,0.5555555555555556,0.645933014354067
65,0.75,0.75,0.75,0.647244094488189
