BatchID,Accuracy,Precision,Recall,CumulativeAccuracy
934,0.7,0.8,0.7,0.7
935,0.6970260223048327,0.697475170349783,0.6970260223048327,0.6970443349753694
936,0.7159090909090909,0.7174383539037108,0.7159090909090909,0.6980140186915887
937,0.631578947368421,0.5008771929824561,0.631578947368421,0.6972848064702484
938,0.6923076923076923,0.8076923076923077,0.6923076923076923,0.6972477064220184
939,0.7857142857142857,0.8571428571428571,0.7857142857142856,0.6979522184300341
940,0.8461538461538461,0.9102564102564102,0.8461538461538463,0.6990400903444381
941,0.4,0.575,0.4,0.6973610331274565
942,0.6666666666666666,0.8333333333333333,0.6666666666666667,0.6972067039106146
943,0.75,0.7916666666666666,0.75,0.697558268590455
944,0.7777777777777778,0.8148148148148148,0.7777777777777778,0.6979569298729983
945,0.6,0.6916666666666667,0.6000000000000001,0.6974190005491488
946,0.8,0.8333333333333334,0.8,0.6979792463134898
947,0.5555555555555556,0.7777777777777777,0.5555555555555556,0.6972826086956522
948,0.6,0.925,0.6000000000000001,0.6967567567567567
949,0.8333333333333334,0.9166666666666666,0.8333333333333333,0.6976369495166488
950,0.8181818181818182,0.7727272727272727,0.8181818181818181,0.6983449012279765
951,0.9,0.95,0.9,0.6994158258098778
952,0.7,0.8333333333333333,0.7,0.699418911780243
953,0.75,0.8166666666666667,0.75,0.6997375328083989
954,1.0,1.0,1.0,0.7006802721088435
955,0.75,0.75,0.75,0.7008858780614904
956,0.6666666666666666,0.7407407407407407,0.6666666666666667,0.7007261410788381
957,0.6363636363636364,0.5878787878787879,0.6363636363636364,0.7003610108303249
958,0.8888888888888888,0.9444444444444444,0.8888888888888888,0.7012320328542094
959,0.875,0.9166666666666666,0.875,0.7019427402862985
960,0.6666666666666666,0.7407407407407407,0.6666666666666667,0.7017811704834606
961,0.7777777777777778,0.8888888888888888,0.7777777777777777,0.7021276595744681
962,0.5555555555555556,0.37037037037037035,0.5555555555555556,0.7014624306606152
963,0.6363636363636364,0.7545454545454545,0.6363636363636364,0.7011033099297894
964,0.875,0.9166666666666666,0.875,0.7017982017982018
965,0.5714285714285714,0.40476190476190477,0.5714285714285714,0.7013439522150323
966,1.0,1.0,1.0,0.7016409746394828
967,0.75,0.8541666666666666,0.75,0.7018325903912828
968,0.6666666666666666,0.6851851851851851,0.6666666666666666,0.7016765285996055
969,0.7142857142857143,0.7142857142857142,0.7142857142857142,0.7017199017199017
970,1.0,1.0,1.0,0.7030332681017613
971,0.5384615384615384,0.5,0.5384615384615385,0.7019931939718036
972,0.9,0.9333333333333333,0.8999999999999999,0.702951136913401
973,0.5,0.5333333333333333,0.5,0.7019740009629273
974,0.7142857142857143,0.8666666666666666,0.7142857142857142,0.7020564323290291
975,0.8461538461538461,0.8571428571428572,0.8461538461538463,0.7029467680608364
976,0.8571428571428571,0.9285714285714284,0.857142857142857,0.7034580767408811
977,0.7777777777777778,0.8333333333333333,0.7777777777777777,0.7037735849056603
978,0.75,0.875,0.75,0.7039473684210527
979,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.7037903603182031
980,0.7142857142857143,0.8630952380952381,0.7142857142857143,0.703858670385867
981,0.6666666666666666,0.7407407407407407,0.6666666666666666,0.7037037037037037
982,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.7030889810972798
983,0.8571428571428571,0.9999999999999999,0.8571428571428571,0.7035845588235294
984,1.0,1.0,1.0,0.7048054919908466
985,0.8,0.8533333333333333,0.8,0.705239179954442
986,0.875,0.9375,0.875,0.7058556513844757
987,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.7054298642533937
988,0.6666666666666666,0.8518518518518519,0.6666666666666666,0.7052726453357369
989,0.5555555555555556,0.6574074074074073,0.5555555555555556,0.7046678635547576
990,0.6666666666666666,0.7037037037037037,0.6666666666666666,0.7045149754135003
991,0.875,0.90625,0.875,0.7051224944320713
992,0.7142857142857143,0.7619047619047619,0.7142857142857142,0.7051509769094139
993,0.625,0.7083333333333333,0.625,0.7048672566371681
994,0.8888888888888888,0.9259259259259258,0.8888888888888888,0.7055971793741737
995,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.7053923717667689
996,0.7,0.7,0.7,0.7053688345700567
997,0.5,0.7916666666666666,0.5,0.7044763146458062
998,0.7,0.8,0.7,0.7044569450454349
999,0.7777777777777778,0.9999999999999999,0.7777777777777777,0.7047413793103449
1000,0.8888888888888888,0.9259259259259258,0.8888888888888888,0.7054529841133533
1001,0.75,0.90625,0.75,0.7056054771074026
1002,0.7272727272727273,0.8227272727272726,0.7272727272727273,0.7057069846678024
1003,0.5454545454545454,0.6181818181818182,0.5454545454545454,0.7049597286986011
1004,0.9,0.9333333333333333,0.8999999999999999,0.7057830308146897
1005,0.4,0.67,0.4,0.7044976881042455
1006,0.8888888888888888,0.9444444444444444,0.8888888888888888,0.7051926298157454
1007,0.5,0.5083333333333333,0.5,0.7043369474562136
1008,0.375,0.5625,0.375,0.7032418952618454
1009,0.6,0.6666666666666667,0.6000000000000001,0.7030277892990461
1010,0.7777777777777778,0.8333333333333334,0.7777777777777777,0.7033057851239669
1011,0.75,0.75,0.75,0.7034596375617792
1012,0.7142857142857143,0.7619047619047619,0.7142857142857142,0.7034907597535934
1013,0.7,0.75,0.7,0.7034764826175869
1014,0.875,0.90625,0.875,0.7040358744394619
1015,0.6363636363636364,0.6666666666666666,0.6363636363636364,0.7037337662337663
1016,0.7,0.7399999999999999,0.7000000000000001,0.7037186742118028
1017,0.7272727272727273,0.8333333333333333,0.7272727272727273,0.7038229376257545
1018,0.6363636363636364,0.7727272727272727,0.6363636363636364,0.7035256410256411
1019,0.4444444444444444,0.7999999999999999,0.4444444444444444,0.7025948103792415
1020,0.6666666666666666,0.8333333333333333,0.6666666666666666,0.7025089605734767
1021,0.8888888888888888,0.9444444444444444,0.8888888888888888,0.7031746031746032
1022,0.75,0.875,0.75,0.7033227848101266
1023,0.75,0.65,0.75,0.7034700315457413
1024,0.375,0.65,0.375,0.702437106918239
1025,0.625,0.75,0.625,0.7021943573667712
1026,0.7777777777777778,0.7222222222222222,0.7777777777777777,0.7024599765716517
1027,0.4444444444444444,0.8,0.4444444444444444,0.701556420233463
1028,0.5,0.5277777777777777,0.5,0.7006196746707978
1029,0.7058823529411765,0.7815126050420168,0.7058823529411765,0.7006540977298961
1030,0.6666666666666666,0.7916666666666666,0.6666666666666666,0.7004978935273841
1031,0.7,0.6982142857142857,0.7,0.7004941087039148
1032,0.6875,0.8125,0.6875,0.7004155647903286
1033,0.4,0.65,0.4,0.6992849077907415
1034,0.5384615384615384,0.5128205128205129,0.5384615384615385,0.6985018726591761
1035,0.5384615384615384,0.7756410256410257,0.5384615384615385,0.697726425642937
1036,0.5833333333333334,0.7666666666666666,0.5833333333333333,0.69721706864564
